Timestamp,Question,Answer
25/08/2022 17:50:24,Science as a career,"Science offers many career options such as engineering, medical and research roles. It is the most favourite career option for parents and students.Physics, Chemistry, Maths, Biology are the main subjects in the Science stream."
25/08/2022 17:51:19,How is commerce as a career? ,"Commerce is the second most popular career option after science. Commerce is best for Business. If you are fascinated by numbers, finances, and economics then commerce is for you.
It offers a wider variety of carrier options such as Chartered Accountant, MBA, investment in banking sectors. You must be familiar with Accountancy, Finances, and Economics."
25/08/2022 17:52:04,How is arts or humanities as a career?,"Arts/ Humanities are of those who are interested in academic research. If you are creative and want to dive deep into Humanity, then arts is the stream for you. History, Political Science, Geography are the core subjects for Arts Students.
"
25/08/2022 17:52:29,What is ITI?,They are training centers that provide courses to students seeking easy employment just after completing school. ITI courses are great opportunities for students who wish to complete any technical course within a short period.
25/08/2022 17:52:55,What are polytechnic courses? ,"After class 10th, students can go for polytechnic courses like Mechanical, Civil, Chemical, Computer, Automobile. These colleges offer diploma courses for 3 years, 2 years and 1 year. Cost-effectiveness, jobs within a short time duration are the advantages of diploma courses after 10th.
"
25/08/2022 17:54:00,How to get an MBBS degree?," After clearing your 12th in Physics, Chemistry and Biology (PCB), you can become a part of the healthcare industry. This field not just suits your subjects but also makes a good career option after class 12th. You can prepare for medical entrance exams to get admission to a top medical college to pursue your MBBS degree. There are various entrance exams for admission to MBBS/BDS courses like NEET, AIIMS, JIPMER which candidates can take to get admission to the college of their choice. After obtaining the MBBS degree, you can either go for an MD to specialize in your area of interest or choose to practice medicine."
25/08/2022 17:54:30,How to become a pharmacist?,"A course in Pharmacy deals with teaching students how to dispense and prepare medicines. The course also makes the student aware of drug-related information. The students of this course will be able to give advice on health care programmes as they will be more aware of the prescriptions given by doctors. They will also be able to evaluate drugs and drug use patterns. To become a pharmacist, you will have to pursue a 4-year B.Pharma programme. Many colleges/institutes conduct entrance exams for entry into this course."
25/08/2022 17:54:56,How to become an architechture?,"The demand for career options after 12th as an Architecture is on the rise. Architects are licensed professionals who design and plan structures that are attractive, functional and safe. They can be involved in every phase of a building's development from conception to construction. To become an architect, one can pursue a Bachelor of Architecture (B.Arch.) program, which typically takes five years to complete after class 12th. Aspiring architects who have already earned a bachelor's degree in another field, like architectural history or construction management, can apply to a Master of Architecture (M.Arch.) program. These advanced programs are also open to applicants who have professional B.Arch. degrees and want to specialize in historic preservation, design theory, solar design, or another related field."
25/08/2022 17:55:41,Career Options after 12th Science,"Medicine and Engineering are the two most popular and sought-after careers after completing courses after 12th in Science but there are other thriving careers too. Students with interest in Biology can opt for MBBS, BDS, Optometrist, Pharmacist, Forensic Science, Microbiology and many more. Those with Physics, Chemistry and Mathematics (PCM) can opt from B.Tech, B.E, B.Arch, Aeronautics etc."
25/08/2022 17:56:26,What courses can I opt for after 12th commerce?,"Chartered Accountant (CA), Company Secretary (CS), Cost and Management Accountant (CMA) are a few professional courses after 12th commerce one can choose after completing 12th in Commerce. Some regular courses include Bachelors in Business Administration (BBA), Bachelors in Economics, Bachelors in Commerce (B.Com)."
25/08/2022 17:56:59,What is a CA?," This is the most sought-after professional course for building a successful career in commerce. A profession of Chartered Accountant opens various doors to exciting career opportunities in diversified sectors. One can act as a Tax Consultant, an auditor, an advisor, a financial officer and much more. One can choose to work with a corporate or practice privately. This professional course is provided by The Institute of Chartered Accountants of India (ICAI)."
25/08/2022 17:57:22,What is CMA?,"This course is provided by The Institute of Cost Accountants of India or ICWAI. Certified Cost Accountants maintain cost accounting records, do cost auditing, helps in planning, controlling and costing of products. One can do his/her own practice as CMA or hold managerial positions in public as well as private enterprises. The role of Cost Accountant goes beyond that of Financial Accountant by helping in production operations and processes. You can choose the cost audit area, certification and consulting areas."
25/08/2022 18:00:02,What is the importance of doing bachelor in economics,"Bachelors in Economics provides practical knowledge on various economic concepts, economic policies, analytical methods and programs etc. You should certainly go for this programme if you are keen in economics and want to gain specialization about the economic framework. Graduating in economics can prove to be an added advantage if you want to prepare for Indian Administrative Services (IAS)"
25/08/2022 18:02:00,How to get a degree in law?,"Law - Students are given exposure to number of legislation and are also given the opportunity to participate in moot courts. Graduates can practice litigation or opt for corporate law. BA LLB, BBA LLB, B.Com LLB (5 years) and B.Tech LLB (6year) courses available to students across law colleges in the country.
"
25/08/2022 18:02:24,What is fashion designing?,"This four-year Bachelor of Design (B.Des) or Bachelor of Fashion Technology programme introduces the subjects that deal with Elements of Textiles, Pattern Making, Fashion Studies, Design Management, Fashion Forecasting etc. After completion of the course, graduates can either work as a fashion designer, interior designer, work in fashion house etc."
25/08/2022 18:09:44,.,.
